timestamp,BTC: Entity-Adjusted STH Realized Profit,timestamp,BTC: Price,timestamp,BTC: Entity-Adjusted STH Realized Loss,timestamp,BTC: Entity-Adjusted STH Realized Loss [Reversed Z-Score],timestamp,BTC: Entity-Adjusted STH Realized Profit [Z-Score],timestamp,Z-Score = 2,timestamp,Z-Score = 0,timestamp,Z-Score = -2,timestamp,High Risk,timestamp,High Risk,timestamp,Very Low Risk,timestamp,---,timestamp,Very High Risk
2009-01-12T00:00:00.000Z,0,,,2009-01-12T00:00:00.000Z,1.9220732076103e-15,,,,,2009-01-12T00:00:00.000Z,2,2009-01-12T00:00:00.000Z,0,2009-01-12T00:00:00.000Z,-2,,,,,,,2009-01-12T00:00:00.000Z,1,,
2009-01-13T00:00:00.000Z,0,,,2009-01-13T00:00:00.000Z,0,,,,,2009-01-13T00:00:00.000Z,2,2009-01-13T00:00:00.000Z,0,2009-01-13T00:00:00.000Z,-2,,,,,,,2009-01-13T00:00:00.000Z,1,,
2009-01-14T00:00:00.000Z,0,,,2009-01-14T00:00:00.000Z,0,,,,,2009-01-14T00:00:00.000Z,2,2009-01-14T00:00:00.000Z,0,2009-01-14T00:00:00.000Z,-2,,,,,,,2009-01-14T00:00:00.000Z,1,,
2009-01-15T00:00:00.000Z,6.24500305331657e-15,,,2009-01-15T00:00:00.000Z,0,,,,,2009-01-15T00:00:00.000Z,2,2009-01-15T00:00:00.000Z,0,2009-01-15T00:00:00.000Z,-2,,,,,,,2009-01-15T00:00:00.000Z,1,,
2009-01-16T00:00:00.000Z,0,,,2009-01-16T00:00:00.000Z,0,,,,,2009-01-16T00:00:00.000Z,2,2009-01-16T00:00:00.000Z,0,2009-01-16T00:00:00.000Z,-2,,,,,,,2009-01-16T00:00:00.000Z,1,,
2009-01-17T00:00:00.000Z,0,,,2009-01-17T00:00:00.000Z,0,,,,,2009-01-17T00:00:00.000Z,2,2009-01-17T00:00:00.000Z,0,2009-01-17T00:00:00.000Z,-2,,,,,,,2009-01-17T00:00:00.000Z,1,,
2009-01-18T00:00:00.000Z,0,,,2009-01-18T00:00:00.000Z,0,,,,,2009-01-18T00:00:00.000Z,2,2009-01-18T00:00:00.000Z,0,2009-01-18T00:00:00.000Z,-2,,,,,,,2009-01-18T00:00:00.000Z,1,,
2009-01-19T00:00:00.000Z,8.84708726359237e-15,,,2009-01-19T00:00:00.000Z,0,,,,,2009-01-19T00:00:00.000Z,2,2009-01-19T00:00:00.000Z,0,2009-01-19T00:00:00.000Z,-2,,,,,,,2009-01-19T00:00:00.000Z,1,,
2009-01-20T00:00:00.000Z,5.55111362188586e-15,,,2009-01-20T00:00:00.000Z,0,,,,,2009-01-20T00:00:00.000Z,2,2009-01-20T00:00:00.000Z,0,2009-01-20T00:00:00.000Z,-2,,,,,,,2009-01-20T00:00:00.000Z,1,,
2009-01-21T00:00:00.000Z,0,,,2009-01-21T00:00:00.000Z,0,,,,,2009-01-21T00:00:00.000Z,2,2009-01-21T00:00:00.000Z,0,2009-01-21T00:00:00.000Z,-2,,,,,,,2009-01-21T00:00:00.000Z,1,,
2009-01-22T00:00:00.000Z,6.93889199572904e-15,,,2009-01-22T00:00:00.000Z,0,,,,,2009-01-22T00:00:00.000Z,2,2009-01-22T00:00:00.000Z,0,2009-01-22T00:00:00.000Z,-2,,,,,,,2009-01-22T00:00:00.000Z,1,,
2009-01-23T00:00:00.000Z,2.08166764301858e-15,,,2009-01-23T00:00:00.000Z,0,,,,,2009-01-23T00:00:00.000Z,2,2009-01-23T00:00:00.000Z,0,2009-01-23T00:00:00.000Z,-2,,,,,,,2009-01-23T00:00:00.000Z,1,,
2009-01-24T00:00:00.000Z,6.93889183768683e-15,,,2009-01-24T00:00:00.000Z,0,,,,,2009-01-24T00:00:00.000Z,2,2009-01-24T00:00:00.000Z,0,2009-01-24T00:00:00.000Z,-2,,,,,,,2009-01-24T00:00:00.000Z,1,,
2009-01-25T00:00:00.000Z,0,,,2009-01-25T00:00:00.000Z,0,,,,,2009-01-25T00:00:00.000Z,2,2009-01-25T00:00:00.000Z,0,2009-01-25T00:00:00.000Z,-2,,,,,,,2009-01-25T00:00:00.000Z,1,,
2009-01-26T00:00:00.000Z,6.93889215582079e-15,,,2009-01-26T00:00:00.000Z,0,,,,,2009-01-26T00:00:00.000Z,2,2009-01-26T00:00:00.000Z,0,2009-01-26T00:00:00.000Z,-2,,,,,,,2009-01-26T00:00:00.000Z,1,,
2009-01-27T00:00:00.000Z,0,,,2009-01-27T00:00:00.000Z,0,,,,,2009-01-27T00:00:00.000Z,2,2009-01-27T00:00:00.000Z,0,2009-01-27T00:00:00.000Z,-2,,,,,,,2009-01-27T00:00:00.000Z,1,,
2009-01-28T00:00:00.000Z,0,,,2009-01-28T00:00:00.000Z,0,,,,,2009-01-28T00:00:00.000Z,2,2009-01-28T00:00:00.000Z,0,2009-01-28T00:00:00.000Z,-2,,,,,,,2009-01-28T00:00:00.000Z,1,,
2009-01-29T00:00:00.000Z,0,,,2009-01-29T00:00:00.000Z,0,,,,,2009-01-29T00:00:00.000Z,2,2009-01-29T00:00:00.000Z,0,2009-01-29T00:00:00.000Z,-2,,,,,,,2009-01-29T00:00:00.000Z,1,,
2009-01-30T00:00:00.000Z,0,,,2009-01-30T00:00:00.000Z,0,,,,,2009-01-30T00:00:00.000Z,2,2009-01-30T00:00:00.000Z,0,2009-01-30T00:00:00.000Z,-2,,,,,,,2009-01-30T00:00:00.000Z,1,,
2009-01-31T00:00:00.000Z,8.32666735489889e-14,,,2009-01-31T00:00:00.000Z,0,,,,,2009-01-31T00:00:00.000Z,2,2009-01-31T00:00:00.000Z,0,2009-01-31T00:00:00.000Z,-2,,,,,,,2009-01-31T00:00:00.000Z,1,,
2009-02-01T00:00:00.000Z,1.1726724058812e-13,,,2009-02-01T00:00:00.000Z,0,,,,,2009-02-01T00:00:00.000Z,2,2009-02-01T00:00:00.000Z,0,2009-02-01T00:00:00.000Z,-2,,,,,,,2009-02-01T00:00:00.000Z,1,,
2009-02-02T00:00:00.000Z,6.76541748857515e-14,,,2009-02-02T00:00:00.000Z,0,,,,,2009-02-02T00:00:00.000Z,2,2009-02-02T00:00:00.000Z,0,2009-02-02T00:00:00.000Z,-2,,,,,,,2009-02-02T00:00:00.000Z,1,,
2009-02-03T00:00:00.000Z,2.08166776000327e-19,,,2009-02-03T00:00:00.000Z,0,,,,,2009-02-03T00:00:00.000Z,2,2009-02-03T00:00:00.000Z,0,2009-02-03T00:00:00.000Z,-2,,,,,,,2009-02-03T00:00:00.000Z,1,,
2009-02-04T00:00:00.000Z,0,,,2009-02-04T00:00:00.000Z,0,,,,,2009-02-04T00:00:00.000Z,2,2009-02-04T00:00:00.000Z,0,2009-02-04T00:00:00.000Z,-2,,,,,,,2009-02-04T00:00:00.000Z,1,,
2009-02-05T00:00:00.000Z,0,,,2009-02-05T00:00:00.000Z,0,,,,,2009-02-05T00:00:00.000Z,2,2009-02-05T00:00:00.000Z,0,2009-02-05T00:00:00.000Z,-2,,,,,,,2009-02-05T00:00:00.000Z,1,,
2009-02-06T00:00:00.000Z,0,,,2009-02-06T00:00:00.000Z,0,,,,,2009-02-06T00:00:00.000Z,2,2009-02-06T00:00:00.000Z,0,2009-02-06T00:00:00.000Z,-2,,,,,,,2009-02-06T00:00:00.000Z,1,,
2009-02-07T00:00:00.000Z,1.38777796411762e-15,,,2009-02-07T00:00:00.000Z,1.11022253655837e-14,,,,,2009-02-07T00:00:00.000Z,2,2009-02-07T00:00:00.000Z,0,2009-02-07T00:00:00.000Z,-2,,,,,,,2009-02-07T00:00:00.000Z,1,,
2009-02-08T00:00:00.000Z,0,,,2009-02-08T00:00:00.000Z,0,,,,,2009-02-08T00:00:00.000Z,2,2009-02-08T00:00:00.000Z,0,2009-02-08T00:00:00.000Z,-2,,,,,,,2009-02-08T00:00:00.000Z,1,,
2009-02-09T00:00:00.000Z,0,,,2009-02-09T00:00:00.000Z,1.52655613274777e-14,,,,,2009-02-09T00:00:00.000Z,2,2009-02-09T00:00:00.000Z,0,2009-02-09T00:00:00.000Z,-2,,,,,,,2009-02-09T00:00:00.000Z,1,,
2009-02-10T00:00:00.000Z,0,,,2009-02-10T00:00:00.000Z,0,,,,,2009-02-10T00:00:00.000Z,2,2009-02-10T00:00:00.000Z,0,2009-02-10T00:00:00.000Z,-2,,,,,,,2009-02-10T00:00:00.000Z,1,,
2009-02-11T00:00:00.000Z,1.38777849612569e-15,,,2009-02-11T00:00:00.000Z,7.2866694684905e-15,,,,,2009-02-11T00:00:00.000Z,2,2009-02-11T00:00:00.000Z,0,2009-02-11T00:00:00.000Z,-2,,,,,,,2009-02-11T00:00:00.000Z,1,,
2009-02-12T00:00:00.000Z,0,,,2009-02-12T00:00:00.000Z,0,,,,,2009-02-12T00:00:00.000Z,2,2009-02-12T00:00:00.000Z,0,2009-02-12T00:00:00.000Z,-2,,,,,,,2009-02-12T00:00:00.000Z,1,,
2009-02-13T00:00:00.000Z,0,,,2009-02-13T00:00:00.000Z,0,,,,,2009-02-13T00:00:00.000Z,2,2009-02-13T00:00:00.000Z,0,2009-02-13T00:00:00.000Z,-2,,,,,,,2009-02-13T00:00:00.000Z,1,,
2009-02-14T00:00:00.000Z,0,,,2009-02-14T00:00:00.000Z,0,,,,,2009-02-14T00:00:00.000Z,2,2009-02-14T00:00:00.000Z,0,2009-02-14T00:00:00.000Z,-2,,,,,,,2009-02-14T00:00:00.000Z,1,,
2009-02-15T00:00:00.000Z,0,,,2009-02-15T00:00:00.000Z,0,,,,,2009-02-15T00:00:00.000Z,2,2009-02-15T00:00:00.000Z,0,2009-02-15T00:00:00.000Z,-2,,,,,,,2009-02-15T00:00:00.000Z,1,,
2009-02-16T00:00:00.000Z,0,,,2009-02-16T00:00:00.000Z,1.04083379119513e-14,,,,,2009-02-16T00:00:00.000Z,2,2009-02-16T00:00:00.000Z,0,2009-02-16T00:00:00.000Z,-2,,,,,,,2009-02-16T00:00:00.000Z,1,,
2009-02-17T00:00:00.000Z,0,,,2009-02-17T00:00:00.000Z,0,,,,,2009-02-17T00:00:00.000Z,2,2009-02-17T00:00:00.000Z,0,2009-02-17T00:00:00.000Z,-2,,,,,,,2009-02-17T00:00:00.000Z,1,,
2009-02-18T00:00:00.000Z,0,,,2009-02-18T00:00:00.000Z,0,,,,,2009-02-18T00:00:00.000Z,2,2009-02-18T00:00:00.000Z,0,2009-02-18T00:00:00.000Z,-2,,,,,,,2009-02-18T00:00:00.000Z,1,,
2009-02-19T00:00:00.000Z,0,,,2009-02-19T00:00:00.000Z,1.11022274078341e-14,,,,,2009-02-19T00:00:00.000Z,2,2009-02-19T00:00:00.000Z,0,2009-02-19T00:00:00.000Z,-2,,,,,,,2009-02-19T00:00:00.000Z,1,,
2009-02-20T00:00:00.000Z,0,,,2009-02-20T00:00:00.000Z,0,,,,,2009-02-20T00:00:00.000Z,2,2009-02-20T00:00:00.000Z,0,2009-02-20T00:00:00.000Z,-2,,,,,,,2009-02-20T00:00:00.000Z,1,,
2009-02-21T00:00:00.000Z,0,,,2009-02-21T00:00:00.000Z,0,,,,,2009-02-21T00:00:00.000Z,2,2009-02-21T00:00:00.000Z,0,2009-02-21T00:00:00.000Z,-2,,,,,,,2009-02-21T00:00:00.000Z,1,,
2009-02-22T00:00:00.000Z,0,,,2009-02-22T00:00:00.000Z,0,,,,,2009-02-22T00:00:00.000Z,2,2009-02-22T00:00:00.000Z,0,2009-02-22T00:00:00.000Z,-2,,,,,,,2009-02-22T00:00:00.000Z,1,,
2009-02-23T00:00:00.000Z,0,,,2009-02-23T00:00:00.000Z,0,,,,,2009-02-23T00:00:00.000Z,2,2009-02-23T00:00:00.000Z,0,2009-02-23T00:00:00.000Z,-2,,,,,,,2009-02-23T00:00:00.000Z,1,,
2009-02-24T00:00:00.000Z,0,,,2009-02-24T00:00:00.000Z,0,,,,,2009-02-24T00:00:00.000Z,2,2009-02-24T00:00:00.000Z,0,2009-02-24T00:00:00.000Z,-2,,,,,,,2009-02-24T00:00:00.000Z,1,,
2009-02-25T00:00:00.000Z,0,,,2009-02-25T00:00:00.000Z,0,,,,,2009-02-25T00:00:00.000Z,2,2009-02-25T00:00:00.000Z,0,2009-02-25T00:00:00.000Z,-2,,,,,,,2009-02-25T00:00:00.000Z,1,,
2009-02-26T00:00:00.000Z,0,,,2009-02-26T00:00:00.000Z,0,,,,,2009-02-26T00:00:00.000Z,2,2009-02-26T00:00:00.000Z,0,2009-02-26T00:00:00.000Z,-2,,,,,,,2009-02-26T00:00:00.000Z,1,,
2009-02-27T00:00:00.000Z,1.24900050005866e-14,,,2009-02-27T00:00:00.000Z,0,,,,,2009-02-27T00:00:00.000Z,2,2009-02-27T00:00:00.000Z,0,2009-02-27T00:00:00.000Z,-2,,,,,,,2009-02-27T00:00:00.000Z,1,,
2009-02-28T00:00:00.000Z,0,,,2009-02-28T00:00:00.000Z,0,,,,,2009-02-28T00:00:00.000Z,2,2009-02-28T00:00:00.000Z,0,2009-02-28T00:00:00.000Z,-2,,,,,,,2009-02-28T00:00:00.000Z,1,,
2009-03-01T00:00:00.000Z,0,,,2009-03-01T00:00:00.000Z,0,,,,,2009-03-01T00:00:00.000Z,2,2009-03-01T00:00:00.000Z,0,2009-03-01T00:00:00.000Z,-2,,,,,,,2009-03-01T00:00:00.000Z,1,,
2009-03-02T00:00:00.000Z,0,,,2009-03-02T00:00:00.000Z,0,,,,,2009-03-02T00:00:00.000Z,2,2009-03-02T00:00:00.000Z,0,2009-03-02T00:00:00.000Z,-2,,,,,,,2009-03-02T00:00:00.000Z,1,,
